date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-07-28,17.74,3.19,450,"1993-07-21 2022-08-04",90.99,7.6,450,"1993-07-21 2022-08-04",27.03,3.27,450,"1993-07-21 2022-08-04",20.85,6.69,450,"1993-07-21 2022-08-04",12.88,3.3,450,"1993-07-21 2022-08-04",50.22,12.63,450,"1993-07-21 2022-08-04",15.61,2.75,450,"1993-07-21 2022-08-04",3.06,2.96,450,"1993-07-21 2022-08-04",3.43,8.51,450,"1993-07-21 2022-08-04",3.43,8.51,450,"1993-07-21 2022-08-04",0,0,450,"1993-07-21 2022-08-04",0,0,450,"1993-07-21 2022-08-04",20482,6146.66,133,"2014-07-23 2022-08-04"
2023-07-27,17.69,3.21,450,"1993-07-20 2022-08-03",90.83,7.56,450,"1993-07-20 2022-08-03",27.03,3.25,450,"1993-07-20 2022-08-03",20.88,6.59,450,"1993-07-20 2022-08-03",12.8,3.26,450,"1993-07-20 2022-08-03",49.93,12.43,450,"1993-07-20 2022-08-03",15.6,2.75,450,"1993-07-20 2022-08-03",3.07,3.04,450,"1993-07-20 2022-08-03",3.31,8.76,450,"1993-07-20 2022-08-03",3.31,8.76,450,"1993-07-20 2022-08-03",0,0,450,"1993-07-20 2022-08-03",0,0,450,"1993-07-20 2022-08-03",20647,6115.47,132,"2014-07-23 2022-08-03"
2023-07-26,17.61,3.35,450,"1993-07-19 2022-08-02",90.59,7.66,450,"1993-07-19 2022-08-02",27.01,3.34,450,"1993-07-19 2022-08-02",21,6.59,450,"1993-07-19 2022-08-02",12.77,3.35,450,"1993-07-19 2022-08-02",49.86,12.52,450,"1993-07-19 2022-08-02",15.61,2.78,450,"1993-07-19 2022-08-02",3.09,3.04,450,"1993-07-19 2022-08-02",3.35,8.88,450,"1993-07-19 2022-08-02",3.35,8.88,450,"1993-07-19 2022-08-02",0,0,450,"1993-07-19 2022-08-02",0,0,450,"1993-07-19 2022-08-02",20609,6384.27,131,"2014-07-23 2022-08-02"
2023-07-25,17.59,3.35,450,"1993-07-18 2022-08-01",90.49,7.62,450,"1993-07-18 2022-08-01",27,3.31,450,"1993-07-18 2022-08-01",20.89,6.64,450,"1993-07-18 2022-08-01",12.74,3.4,450,"1993-07-18 2022-08-01",49.62,12.36,450,"1993-07-18 2022-08-01",15.63,2.78,450,"1993-07-18 2022-08-01",3.05,3.01,450,"1993-07-18 2022-08-01",3.29,8.99,450,"1993-07-18 2022-08-01",3.29,8.99,450,"1993-07-18 2022-08-01",0,0,450,"1993-07-18 2022-08-01",0,0,450,"1993-07-18 2022-08-01",20671,6471.49,130,"2014-07-23 2022-08-01"
2023-07-24,17.64,3.38,450,"1993-07-17 2022-07-31",90.54,7.58,450,"1993-07-17 2022-07-31",27.03,3.32,450,"1993-07-17 2022-07-31",21.05,6.72,450,"1993-07-17 2022-07-31",12.75,3.41,450,"1993-07-17 2022-07-31",49.64,12.16,450,"1993-07-17 2022-07-31",15.64,2.81,450,"1993-07-17 2022-07-31",3.05,3.01,450,"1993-07-17 2022-07-31",3.46,9.04,450,"1993-07-17 2022-07-31",3.46,9.04,450,"1993-07-17 2022-07-31",0,0,450,"1993-07-17 2022-07-31",0,0,450,"1993-07-17 2022-07-31",20668,6392.34,129,"2014-07-23 2022-07-31"
2023-07-23,17.67,3.41,450,"1993-07-16 2022-07-30",90.4,7.51,450,"1993-07-16 2022-07-30",27.03,3.35,450,"1993-07-16 2022-07-30",21.17,6.71,450,"1993-07-16 2022-07-30",12.73,3.44,450,"1993-07-16 2022-07-30",49.62,12.05,450,"1993-07-16 2022-07-30",15.68,2.8,450,"1993-07-16 2022-07-30",3.12,3.07,450,"1993-07-16 2022-07-30",3.38,8.85,450,"1993-07-16 2022-07-30",3.38,8.85,450,"1993-07-16 2022-07-30",0,0,450,"1993-07-16 2022-07-30",0,0,450,"1993-07-16 2022-07-30",20500,6476.72,128,"2014-07-23 2022-07-30"
2023-07-22,17.74,3.41,450,"1993-07-15 2022-07-29",90.45,7.4,450,"1993-07-15 2022-07-29",27.09,3.33,450,"1993-07-15 2022-07-29",21.2,6.68,450,"1993-07-15 2022-07-29",12.81,3.46,450,"1993-07-15 2022-07-29",49.7,12.18,450,"1993-07-15 2022-07-29",15.73,2.8,450,"1993-07-15 2022-07-29",3.12,3.1,450,"1993-07-15 2022-07-29",3.36,8.76,450,"1993-07-15 2022-07-29",3.36,8.76,450,"1993-07-15 2022-07-29",0,0,450,"1993-07-15 2022-07-29",0,0,450,"1993-07-15 2022-07-29",20683,6698.59,127,"2014-07-23 2022-07-29"
2023-07-21,17.79,3.39,450,"1993-07-14 2022-07-28",90.49,7.27,450,"1993-07-14 2022-07-28",27.11,3.4,450,"1993-07-14 2022-07-28",21.13,6.62,450,"1993-07-14 2022-07-28",12.91,3.43,450,"1993-07-14 2022-07-28",49.99,12.01,450,"1993-07-14 2022-07-28",15.76,2.81,450,"1993-07-14 2022-07-28",3.09,3.05,450,"1993-07-14 2022-07-28",3.36,8.71,450,"1993-07-14 2022-07-28",3.36,8.71,450,"1993-07-14 2022-07-28",0,0,450,"1993-07-14 2022-07-28",0,0,450,"1993-07-14 2022-07-28",20472,6629.03,126,"2014-07-23 2022-07-28"
2023-07-20,17.78,3.39,450,"1993-07-13 2022-07-27",90.44,7.34,450,"1993-07-13 2022-07-27",27.13,3.46,450,"1993-07-13 2022-07-27",21.23,6.54,450,"1993-07-13 2022-07-27",12.89,3.42,450,"1993-07-13 2022-07-27",50.06,12.06,450,"1993-07-13 2022-07-27",15.74,2.81,450,"1993-07-13 2022-07-27",3.11,3.09,450,"1993-07-13 2022-07-27",3.41,8.82,450,"1993-07-13 2022-07-27",3.41,8.82,450,"1993-07-13 2022-07-27",0,0,450,"1993-07-13 2022-07-27",0,0,450,"1993-07-13 2022-07-27",20482,6584.41,125,"2014-07-23 2022-07-27"
2023-07-19,17.7,3.43,450,"1993-07-12 2022-07-26",90.28,7.45,450,"1993-07-12 2022-07-26",27.15,3.46,450,"1993-07-12 2022-07-26",21.22,6.55,450,"1993-07-12 2022-07-26",12.8,3.42,450,"1993-07-12 2022-07-26",49.85,12.25,450,"1993-07-12 2022-07-26",15.68,2.79,450,"1993-07-12 2022-07-26",3.16,3.12,450,"1993-07-12 2022-07-26",3.32,8.81,450,"1993-07-12 2022-07-26",3.33,8.81,450,"1993-07-12 2022-07-26",0,0,450,"1993-07-12 2022-07-26",0,0,450,"1993-07-12 2022-07-26",20571,6612.41,124,"2014-07-23 2022-07-26"
2023-07-18,17.61,3.47,450,"1993-07-11 2022-07-25",90.26,7.37,450,"1993-07-11 2022-07-25",27.18,3.43,450,"1993-07-11 2022-07-25",21.13,6.41,450,"1993-07-11 2022-07-25",12.72,3.46,450,"1993-07-11 2022-07-25",49.48,12.31,450,"1993-07-11 2022-07-25",15.6,2.82,450,"1993-07-11 2022-07-25",3.18,3.09,450,"1993-07-11 2022-07-25",3.44,9.01,450,"1993-07-11 2022-07-25",3.46,9.01,450,"1993-07-11 2022-07-25",0,0,450,"1993-07-11 2022-07-25",0,0,450,"1993-07-11 2022-07-25",20560,6717.38,123,"2014-07-23 2022-07-25"
2023-07-17,17.53,3.52,450,"1993-07-10 2022-07-24",90.16,7.41,450,"1993-07-10 2022-07-24",27.14,3.53,450,"1993-07-10 2022-07-24",21.35,6.41,450,"1993-07-10 2022-07-24",12.64,3.49,450,"1993-07-10 2022-07-24",49.3,12.17,450,"1993-07-10 2022-07-24",15.56,2.87,450,"1993-07-10 2022-07-24",3.2,3.05,450,"1993-07-10 2022-07-24",3.15,8.42,450,"1993-07-10 2022-07-24",3.17,8.42,450,"1993-07-10 2022-07-24",0,0,450,"1993-07-10 2022-07-24",0,0,450,"1993-07-10 2022-07-24",20850,6696.42,122,"2014-07-23 2022-07-24"
2023-07-16,17.52,3.53,450,"1993-07-09 2022-07-23",90.31,7.34,450,"1993-07-09 2022-07-23",27.15,3.58,450,"1993-07-09 2022-07-23",21.42,6.27,450,"1993-07-09 2022-07-23",12.61,3.5,450,"1993-07-09 2022-07-23",49.26,12.19,450,"1993-07-09 2022-07-23",15.57,2.84,450,"1993-07-09 2022-07-23",3.29,2.99,450,"1993-07-09 2022-07-23",3.01,7.48,450,"1993-07-09 2022-07-23",3.03,7.48,450,"1993-07-09 2022-07-23",0,0,450,"1993-07-09 2022-07-23",0,0,450,"1993-07-09 2022-07-23",20973,6660.78,121,"2014-07-23 2022-07-23"
2023-07-15,17.46,3.55,450,"1993-07-08 2022-07-22",90.3,7.43,450,"1993-07-08 2022-07-22",27.12,3.63,450,"1993-07-08 2022-07-22",21.42,6.3,450,"1993-07-08 2022-07-22",12.58,3.5,450,"1993-07-08 2022-07-22",49.17,12.25,450,"1993-07-08 2022-07-22",15.55,2.89,450,"1993-07-08 2022-07-22",3.25,2.97,450,"1993-07-08 2022-07-22",2.94,7.21,450,"1993-07-08 2022-07-22",2.96,7.21,450,"1993-07-08 2022-07-22",0,0,450,"1993-07-08 2022-07-22",0,0,450,"1993-07-08 2022-07-22",21250,6831.07,120,"2015-07-08 2022-07-22"
2023-07-14,17.44,3.6,450,"1993-07-07 2022-07-21",90.27,7.58,450,"1993-07-07 2022-07-21",27.09,3.65,450,"1993-07-07 2022-07-21",21.35,6.25,450,"1993-07-07 2022-07-21",12.5,3.58,450,"1993-07-07 2022-07-21",49.08,12.37,450,"1993-07-07 2022-07-21",15.47,2.91,450,"1993-07-07 2022-07-21",3.22,2.99,450,"1993-07-07 2022-07-21",2.97,7.2,450,"1993-07-07 2022-07-21",2.99,7.2,450,"1993-07-07 2022-07-21",0,0,450,"1993-07-07 2022-07-21",0,0,450,"1993-07-07 2022-07-21",21454,6976.23,120,"2015-07-07 2022-07-21"
2023-07-13,17.45,3.63,450,"1993-07-06 2022-07-20",90.29,7.55,450,"1993-07-06 2022-07-20",27.07,3.67,450,"1993-07-06 2022-07-20",21.5,6.26,450,"1993-07-06 2022-07-20",12.45,3.63,450,"1993-07-06 2022-07-20",48.89,12.29,450,"1993-07-06 2022-07-20",15.46,2.94,450,"1993-07-06 2022-07-20",3.3,3.01,450,"1993-07-06 2022-07-20",2.95,7.19,450,"1993-07-06 2022-07-20",2.97,7.19,450,"1993-07-06 2022-07-20",0,0,450,"1993-07-06 2022-07-20",0,0,450,"1993-07-06 2022-07-20",21618,6932.05,120,"2015-07-06 2022-07-20"
2023-07-12,17.47,3.63,450,"1993-07-05 2022-07-19",90.21,7.6,450,"1993-07-05 2022-07-19",27.08,3.71,450,"1993-07-05 2022-07-19",21.58,6.07,450,"1993-07-05 2022-07-19",12.41,3.67,450,"1993-07-05 2022-07-19",48.88,12.43,450,"1993-07-05 2022-07-19",15.44,2.96,450,"1993-07-05 2022-07-19",3.37,2.96,450,"1993-07-05 2022-07-19",2.81,6.46,450,"1993-07-05 2022-07-19",2.83,6.46,450,"1993-07-05 2022-07-19",0,0,450,"1993-07-05 2022-07-19",0,0,450,"1993-07-05 2022-07-19",21791,6920.06,120,"2015-07-05 2022-07-19"
2023-07-11,17.45,3.55,450,"1993-07-04 2022-07-18",90.16,7.52,450,"1993-07-04 2022-07-18",27.12,3.75,450,"1993-07-04 2022-07-18",21.64,6.01,450,"1993-07-04 2022-07-18",12.3,3.63,450,"1993-07-04 2022-07-18",48.49,12.65,450,"1993-07-04 2022-07-18",15.38,2.94,450,"1993-07-04 2022-07-18",3.41,2.97,450,"1993-07-04 2022-07-18",2.68,6.15,450,"1993-07-04 2022-07-18",2.7,6.15,450,"1993-07-04 2022-07-18",0,0,450,"1993-07-04 2022-07-18",0,0,450,"1993-07-04 2022-07-18",22332,6743.74,120,"2015-07-04 2022-07-18"
2023-07-10,17.35,3.59,450,"1993-07-03 2022-07-17",90.08,7.44,450,"1993-07-03 2022-07-17",27.1,3.8,450,"1993-07-03 2022-07-17",21.6,6,450,"1993-07-03 2022-07-17",12.2,3.58,450,"1993-07-03 2022-07-17",48.28,12.92,450,"1993-07-03 2022-07-17",15.28,2.96,450,"1993-07-03 2022-07-17",3.45,2.98,450,"1993-07-03 2022-07-17",2.6,5.75,450,"1993-07-03 2022-07-17",2.62,5.75,450,"1993-07-03 2022-07-17",0,0,450,"1993-07-03 2022-07-17",0,0,450,"1993-07-03 2022-07-17",22671,6622.69,120,"2015-07-03 2022-07-17"
2023-07-09,17.19,3.59,450,"1993-07-02 2022-07-16",89.9,7.44,450,"1993-07-02 2022-07-16",26.97,3.81,450,"1993-07-02 2022-07-16",21.82,6.07,450,"1993-07-02 2022-07-16",12.07,3.63,450,"1993-07-02 2022-07-16",48.14,12.93,450,"1993-07-02 2022-07-16",15.17,2.98,450,"1993-07-02 2022-07-16",3.64,3.06,450,"1993-07-02 2022-07-16",2.44,5.67,450,"1993-07-02 2022-07-16",2.45,5.68,450,"1993-07-02 2022-07-16",0,0,450,"1993-07-02 2022-07-16",0,0,450,"1993-07-02 2022-07-16",22784,6597.33,120,"2015-07-02 2022-07-16"
2023-07-08,17.15,3.59,450,"1993-07-01 2022-07-15",89.92,7.58,450,"1993-07-01 2022-07-15",26.9,3.81,450,"1993-07-01 2022-07-15",22.03,6.27,450,"1993-07-01 2022-07-15",12.03,3.67,450,"1993-07-01 2022-07-15",48.31,13,450,"1993-07-01 2022-07-15",15.1,3.03,450,"1993-07-01 2022-07-15",3.67,3.02,450,"1993-07-01 2022-07-15",2.59,6.03,450,"1993-07-01 2022-07-15",2.61,6.04,450,"1993-07-01 2022-07-15",0,0,450,"1993-07-01 2022-07-15",0,0,450,"1993-07-01 2022-07-15",22552,6763.26,120,"2015-07-01 2022-07-15"
2023-07-07,17.11,3.59,450,"1993-06-30 2022-07-14",89.97,7.59,450,"1993-06-30 2022-07-14",26.84,3.84,450,"1993-06-30 2022-07-14",22.15,6.3,450,"1993-06-30 2022-07-14",12.01,3.66,450,"1993-06-30 2022-07-14",48.33,12.76,450,"1993-06-30 2022-07-14",15.05,3.05,450,"1993-06-30 2022-07-14",3.69,3,450,"1993-06-30 2022-07-14",2.54,6.01,450,"1993-06-30 2022-07-14",2.56,6.02,450,"1993-06-30 2022-07-14",0,0,450,"1993-06-30 2022-07-14",0,0,450,"1993-06-30 2022-07-14",22239,6680.88,120,"2015-06-30 2022-07-14"
2023-07-06,17.09,3.57,450,"1993-06-29 2022-07-13",90.05,7.61,450,"1993-06-29 2022-07-13",26.75,3.85,450,"1993-06-29 2022-07-13",22.36,6.53,450,"1993-06-29 2022-07-13",11.92,3.64,450,"1993-06-29 2022-07-13",48.37,12.89,450,"1993-06-29 2022-07-13",14.98,3.02,450,"1993-06-29 2022-07-13",3.73,3,450,"1993-06-29 2022-07-13",2.64,5.97,450,"1993-06-29 2022-07-13",2.66,5.98,450,"1993-06-29 2022-07-13",0,0,450,"1993-06-29 2022-07-13",0,0,450,"1993-06-29 2022-07-13",22172,6835.23,120,"2015-06-29 2022-07-13"
2023-07-05,17.1,3.56,450,"1993-06-28 2022-07-12",90.2,7.71,450,"1993-06-28 2022-07-12",26.66,3.87,450,"1993-06-28 2022-07-12",22.33,6.55,450,"1993-06-28 2022-07-12",11.92,3.69,450,"1993-06-28 2022-07-12",48.47,13,450,"1993-06-28 2022-07-12",14.97,3.05,450,"1993-06-28 2022-07-12",3.71,2.96,450,"1993-06-28 2022-07-12",2.66,5.88,450,"1993-06-28 2022-07-12",2.67,5.83,450,"1993-06-28 2022-07-12",0,0,450,"1993-06-28 2022-07-12",0,0,450,"1993-06-28 2022-07-12",22041,6982.79,120,"2015-06-28 2022-07-12"
2023-07-04,17.15,3.55,450,"1993-06-27 2022-07-11",90.32,7.75,450,"1993-06-27 2022-07-11",26.62,3.92,450,"1993-06-27 2022-07-11",22.44,6.7,450,"1993-06-27 2022-07-11",11.93,3.75,450,"1993-06-27 2022-07-11",48.64,13.11,450,"1993-06-27 2022-07-11",14.99,3.09,450,"1993-06-27 2022-07-11",3.73,3,450,"1993-06-27 2022-07-11",3,6.77,450,"1993-06-27 2022-07-11",2.99,6.72,450,"1993-06-27 2022-07-11",0,0,450,"1993-06-27 2022-07-11",0,0,450,"1993-06-27 2022-07-11",21899,7003.08,120,"2015-06-27 2022-07-11"
2023-07-03,17.19,3.55,450,"1993-06-26 2022-07-10",90.38,7.72,450,"1993-06-26 2022-07-10",26.61,3.97,450,"1993-06-26 2022-07-10",22.62,6.81,450,"1993-06-26 2022-07-10",11.92,3.79,450,"1993-06-26 2022-07-10",48.74,13.26,450,"1993-06-26 2022-07-10",15.04,3.12,450,"1993-06-26 2022-07-10",3.76,3.07,450,"1993-06-26 2022-07-10",2.95,6.62,450,"1993-06-26 2022-07-10",2.94,6.58,450,"1993-06-26 2022-07-10",0,0,450,"1993-06-26 2022-07-10",0,0,450,"1993-06-26 2022-07-10",21994,7047.01,120,"2015-06-26 2022-07-10"
2023-07-02,17.27,3.53,450,"1993-06-25 2022-07-09",90.42,7.72,450,"1993-06-25 2022-07-09",26.63,4.01,450,"1993-06-25 2022-07-09",22.47,6.79,450,"1993-06-25 2022-07-09",11.97,3.82,450,"1993-06-25 2022-07-09",48.96,13.41,450,"1993-06-25 2022-07-09",15.08,3.15,450,"1993-06-25 2022-07-09",3.76,3.11,450,"1993-06-25 2022-07-09",3.21,7.11,450,"1993-06-25 2022-07-09",3.2,7.07,450,"1993-06-25 2022-07-09",0,0,450,"1993-06-25 2022-07-09",0,0,450,"1993-06-25 2022-07-09",21898,7087.54,120,"2015-06-25 2022-07-09"
2023-07-01,17.25,3.51,450,"1993-06-24 2022-07-08",90.27,7.79,450,"1993-06-24 2022-07-08",26.67,3.94,450,"1993-06-24 2022-07-08",22.51,7,450,"1993-06-24 2022-07-08",11.87,3.81,450,"1993-06-24 2022-07-08",48.63,13.24,450,"1993-06-24 2022-07-08",14.99,3.19,450,"1993-06-24 2022-07-08",3.68,3.13,450,"1993-06-24 2022-07-08",3.3,8.39,450,"1993-06-24 2022-07-08",3.29,8.35,450,"1993-06-24 2022-07-08",0,0,450,"1993-06-24 2022-07-08",0,0,450,"1993-06-24 2022-07-08",22154,6864.33,120,"2015-06-24 2022-07-08"
2023-06-30,17.13,3.58,450,"1993-06-23 2022-07-07",90.13,7.97,450,"1993-06-23 2022-07-07",26.62,3.93,450,"1993-06-23 2022-07-07",22.45,6.99,450,"1993-06-23 2022-07-07",11.76,3.89,450,"1993-06-23 2022-07-07",48.43,13.5,450,"1993-06-23 2022-07-07",14.89,3.19,450,"1993-06-23 2022-07-07",3.76,3.11,450,"1993-06-23 2022-07-07",3.14,8.22,450,"1993-06-23 2022-07-07",3.13,8.18,450,"1993-06-23 2022-07-07",0,0,450,"1993-06-23 2022-07-07",0,0,450,"1993-06-23 2022-07-07",21980,6890.66,120,"2015-06-23 2022-07-07"
2023-06-29,17.1,3.54,450,"1993-06-22 2022-07-06",90.31,7.84,450,"1993-06-22 2022-07-06",26.53,3.94,450,"1993-06-22 2022-07-06",22.61,7.05,450,"1993-06-22 2022-07-06",11.68,3.87,450,"1993-06-22 2022-07-06",48.4,13.5,450,"1993-06-22 2022-07-06",14.85,3.19,450,"1993-06-22 2022-07-06",3.82,3.12,450,"1993-06-22 2022-07-06",3.29,8.47,450,"1993-06-22 2022-07-06",3.28,8.43,450,"1993-06-22 2022-07-06",0,0,450,"1993-06-22 2022-07-06",0,0,450,"1993-06-22 2022-07-06",21954,6740.7,119,"2015-06-23 2022-07-06"
